model,stratum,skin_tone_category,n_subjects,g_n,g_mean_dice,g_median_dice,g_iqr_dice,g_mean_recall,g_mean_precision,g_zero_dice_n,g_zero_dice_rate,g_empty_pred_n,g_wrong_place_n
dermlip_ft__seed0#c827,D1_D4,Light (II-III),4,15,0.6838659715050499,0.7269323348488901,0.24668157537700197,0.8192501504712854,0.6024036158205518,0,0.0,0,0
dermlip_ft__seed0#c827,D1_D4,Intermediate (III-IV),5,14,0.7952025464612359,0.8231805742777054,0.15437602102349346,0.9062868225519575,0.7310483904564525,0,0.0,0,0
dermlip_ft__seed0#c827,D1_D4,Tan (IV),6,9,0.5820902501933358,0.5747695075331685,0.23391098462731574,0.6815522035909924,0.5293400482616601,1,0.1111111111111111,0,1
dermlip_ft__seed0#c827,D1_D4,Brown (V),1,2,0.6899124171227561,0.6899124171227561,0.1705945783059737,0.7120070024429141,0.6716134591692848,0,0.0,0,0
dermlip_ft__seed0#c827,D1_D4,Dark (VI),2,13,0.6139239992205879,0.6492317340859204,0.14062543129243288,0.7021077870797099,0.5636093651770484,0,0.0,0,0
dermlip_ft__seed0#c827,D5_D10,Light (II-III),7,16,0.7048652613298722,0.7308252324925142,0.16512875796301574,0.7521256908081382,0.6944882644780486,0,0.0,0,0
dermlip_ft__seed0#c827,D5_D10,Intermediate (III-IV),11,32,0.7871569882888309,0.8338186841525225,0.1441913033787291,0.8552106194169553,0.7559945090068945,0,0.0,0,0
dermlip_ft__seed0#c827,D5_D10,Tan (IV),8,12,0.8324170375021155,0.8526959720481886,0.0679754636786637,0.9273404384166696,0.7662374297100771,0,0.0,0,0
dermlip_ft__seed0#c827,D5_D10,Brown (V),3,5,0.7562280317195755,0.7613663133097762,0.07830545972118474,0.7920652085144505,0.731392304045381,0,0.0,0,0
dermlip_ft__seed0#c827,D5_D10,Dark (VI),7,15,0.7144554117225959,0.7843326885880078,0.11892341784393468,0.7180444167625172,0.7578577738778676,0,0.0,0,0
dermlip_g28,all,Light (II-III),7,31,0.4739165607636458,0.4984819431128156,0.39773120410046703,0.607568256698047,0.43744578784883253,1,0.03225806451612903,0,1
dermlip_g28,all,Intermediate (III-IV),12,46,0.6497801388590763,0.721123105422272,0.21187179058051686,0.8049300927637253,0.5834987006263573,1,0.021739130434782608,0,1
dermlip_g28,all,Tan (IV),11,21,0.5708622377690764,0.6118847006651885,0.45751998903231866,0.7719365961092609,0.5100022274679927,0,0.0,0,0
dermlip_g28,all,Brown (V),4,7,0.5462764727711611,0.6031266467591779,0.21515620565921462,0.7627228394057642,0.4426709899039167,0,0.0,0,0
dermlip_g28,all,Dark (VI),8,28,0.581170534375355,0.5940004015068221,0.24574155400566255,0.7721700332536104,0.5105849294198966,0,0.0,0,0
dermlip_g28,D1_D4,Light (II-III),4,15,0.44530707259411234,0.4965243296921549,0.2720441099116404,0.6368512447969134,0.3712285406498552,1,0.06666666666666667,0,1
dermlip_g28,D1_D4,Intermediate (III-IV),5,14,0.5981583314770529,0.7115323531667672,0.17355773108927197,0.7965639799781349,0.5234539648494624,0,0.0,0,0
dermlip_g28,D1_D4,Tan (IV),6,9,0.399927718976977,0.3487733135080971,0.2491881200580957,0.6200752847339329,0.3994755718144143,0,0.0,0,0
dermlip_g28,D1_D4,Brown (V),1,2,0.3038832956942985,0.3038832956942985,0.04325054566532649,0.6423836199067837,0.20757793978408634,0,0.0,0,0
dermlip_g28,D1_D4,Dark (VI),2,13,0.4876594079745509,0.4398898071625344,0.21493199520164907,0.7688005928916961,0.37648961931954045,0,0.0,0,0
dermlip_g28,D5_D10,Light (II-III),7,16,0.5007379559225835,0.5711035860803805,0.42137427393250726,0.5801154553553597,0.49952445709787396,0,0.0,0,0
dermlip_g28,D5_D10,Intermediate (III-IV),11,32,0.6723646795887115,0.723693418967174,0.22771770744275655,0.808590267107421,0.6097682725287488,1,0.03125,0,1
dermlip_g28,D5_D10,Tan (IV),8,12,0.699063126863151,0.761396589514785,0.2251137392178435,0.8858325796407568,0.5928972192081767,0,0.0,0,0
dermlip_g28,D5_D10,Brown (V),3,5,0.6432337436019061,0.641421331359262,0.09145528796612601,0.8108585272053563,0.5367082099518488,0,0.0,0,0
dermlip_g28,D5_D10,Dark (VI),7,15,0.6622135105893855,0.6589326206673145,0.22783085279306015,0.7750902149006024,0.6268008648402054,0,0.0,0,0
dinov2_ft__seed0,all,Light (II-III),9,39,0.7387666110622828,0.7663575812981586,0.1805670867268585,0.7200163145012191,0.804611055079124,0,0.0,0,0
dinov2_ft__seed0,all,Intermediate (III-IV),17,38,0.8202168676309429,0.8577099957936389,0.12032943227353288,0.7917936420977536,0.9012033145828703,0,0.0,0,0
dinov2_ft__seed0,all,Tan (IV),15,24,0.7490253982704346,0.8043699458534435,0.24952041897568855,0.7465067319438458,0.807568535670089,0,0.0,0,0
dinov2_ft__seed0,all,Brown (V),12,29,0.8311431465463418,0.8604572965702757,0.17978219338419876,0.8160504086745488,0.8676066116388437,0,0.0,0,0
dinov2_ft__seed0,all,Dark (VI),15,55,0.8021765602529967,0.8374698716695981,0.16305981359504762,0.7816281702510018,0.846837168769917,0,0.0,0,0
dinov2_ft__seed0,D1_D4,Light (II-III),7,23,0.7072511546734582,0.7579051383399209,0.15990183038088623,0.6969139909944752,0.7736483058919229,0,0.0,0,0
dinov2_ft__seed0,D1_D4,Intermediate (III-IV),10,13,0.8279506608692713,0.8777988928364868,0.11986196851956044,0.8214037335868595,0.8620512784679089,0,0.0,0,0
dinov2_ft__seed0,D1_D4,Tan (IV),4,8,0.7329718190503688,0.8060591878662725,0.19857226293893693,0.7887741337172135,0.6958068193682451,0,0.0,0,0
dinov2_ft__seed0,D1_D4,Brown (V),3,12,0.8519529008810777,0.8659262320731347,0.0819720615788263,0.8312725305228815,0.8819476019077833,0,0.0,0,0
dinov2_ft__seed0,D1_D4,Dark (VI),8,18,0.7935511188487774,0.8476586065037528,0.18669827783338466,0.8050487903524625,0.8152730530477723,0,0.0,0,0
dinov2_ft__seed0,D5_D10,Light (II-III),6,16,0.7840700796212182,0.8337224984121512,0.2177646323673612,0.7532259045421634,0.8491200070357254,0,0.0,0,0
dinov2_ft__seed0,D5_D10,Intermediate (III-IV),11,25,0.8161952951470123,0.8572092560007968,0.11393171149705839,0.7763963945234184,0.9215623733626503,0,0.0,0,0
dinov2_ft__seed0,D5_D10,Tan (IV),13,16,0.7570521878804675,0.7960504465856161,0.2687285135365818,0.725373031057162,0.863449393821011,0,0.0,0,0
