model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
fastscnn,D1,4071.0,19,0.3438081681813205,0.3505148297190961,0.34051431638702995,0.8000400912984875,7,0.3684210526315789,7
fastscnn,D2,5445.5,18,0.6634597595595906,0.6254993901384126,0.628595598151689,0.7365245058945648,0,0.0,0
fastscnn,D3,6686.0,19,0.5054115636570777,0.4713766238044152,0.4747472076457764,0.5470407509927254,3,0.15789473684210525,0
fastscnn,D4,8665.5,18,0.7229474883218496,0.5776871288294955,0.5596853773941916,0.7524055128258873,2,0.1111111111111111,1
fastscnn,D5,10622.0,19,0.7581306589792521,0.6985984818873153,0.6405877112162182,0.8156171379991474,0,0.0,0
fastscnn,D6,11957.5,18,0.765196202109472,0.6804534444806212,0.6469474052233156,0.7858785508112818,0,0.0,0
fastscnn,D7,13841.0,18,0.654487030743683,0.6188060162184361,0.5802347015116103,0.7803054369949135,0,0.0,0
fastscnn,D8,15506.0,19,0.8721577570594943,0.7430503055893668,0.7203466779242703,0.7886002016022043,1,0.05263157894736842,0
fastscnn,D9,19152.0,18,0.7259421838145196,0.6864661351872132,0.6375726725144559,0.7824609550471547,0,0.0,0
fastscnn,D10,31415.0,19,0.615900829527449,0.6095288970201489,0.5338664752288086,0.8143343355613564,0,0.0,0
fastscnn_b2kd,D1,4071.0,19,0.6635119580509017,0.5394446644898594,0.5774517152798938,0.5543799429225235,1,0.05263157894736842,0
fastscnn_b2kd,D2,5445.5,18,0.7331176460998858,0.7109413037138905,0.7707167610848222,0.7120142679720761,0,0.0,0
fastscnn_b2kd,D3,6686.0,19,0.6566921827882162,0.5345108989392148,0.554770764636106,0.5834480447097924,2,0.10526315789473684,0
fastscnn_b2kd,D4,8665.5,18,0.7656126310280156,0.6357720880242986,0.6391918248971833,0.776743880608941,2,0.1111111111111111,2
fastscnn_b2kd,D5,10622.0,19,0.6590345697931221,0.6530175593415893,0.6484509868017795,0.7572425786805755,0,0.0,0
fastscnn_b2kd,D6,11957.5,18,0.7493091780690984,0.7560583586715611,0.7405997770985597,0.8165289485373071,0,0.0,0
fastscnn_b2kd,D7,13841.0,18,0.7089976315286524,0.675531643669337,0.6349046279407466,0.7922522452981613,0,0.0,0
fastscnn_b2kd,D8,15506.0,19,0.8446763503032012,0.7379073682218295,0.7345021976115118,0.7529964020280293,0,0.0,0
fastscnn_b2kd,D9,19152.0,18,0.6906619282722859,0.6475617778364756,0.586978053860239,0.7824578246846303,1,0.05555555555555555,0
fastscnn_b2kd,D10,31415.0,19,0.6464694032388876,0.6225548985683375,0.5374798721558784,0.860188057462007,0,0.0,0
